machine_id,line_id,factory_id,machine_type,brand,model,installation_date,machine_age_years,criticality,rated_capacity_units_per_hour,normal_temperature_c,warning_temperature_c,normal_rpm_min,normal_rpm_max,baseline_vibration_mm_s,base_failure_probability,machine_status
MCH0188,LIN004,FAC002,CNC Milling,Makino,MAK-995,2016-06-26,10.0,Medium,294,72,85,1800,2400,2.8,0.0425,Active
MCH0189,LIN004,FAC002,CNC Lathe,DMG Mori,DMG-173,2012-05-09,14.1,High,381,68,80,1600,2200,2.7,0.0788,Under Maintenance
MCH0190,LIN002,FAC001,Hydraulic Press,Schuler,SCH-675,2019-11-21,6.6,Critical,456,60,78,800,1400,3.2,0.0582,Active
MCH0191,LIN025,FAC009,Assembly Robot,ABB,ABB-670,2019-03-05,7.3,Critical,426,45,70,1400,2100,2.2,0.0601,Under Maintenance
MCH0192,LIN007,FAC003,CNC Milling,Makino,MAK-373,2019-04-20,7.2,Medium,407,72,85,1800,2400,2.8,0.0348,Standby
MCH0193,LIN006,FAC002,Grinding Machine,Bosch Rexroth,BOS-687,2011-02-04,15.4,Low,291,65,82,1500,2300,3.4,0.0573,Under Maintenance
MCH0194,LIN015,FAC005,Hydraulic Press,Schuler,SCH-899,2010-01-07,16.5,Medium,128,60,78,800,1400,3.2,0.0604,Active
MCH0195,LIN014,FAC005,Injection Molding,Husky,HUS-573,2016-01-19,10.4,Critical,348,55,75,1200,1900,3.0,0.0686,Standby
MCH0196,LIN005,FAC002,Injection Molding,Husky,HUS-920,2017-03-17,9.3,Medium,433,55,75,1200,1900,3.0,0.0406,Active
MCH0197,LIN001,FAC001,CNC Lathe,DMG Mori,DMG-178,2014-05-03,12.2,Medium,264,68,80,1600,2200,2.7,0.0485,Under Maintenance
MCH0198,LIN003,FAC001,CNC Milling,Makino,MAK-194,2018-03-26,8.3,High,221,72,85,1800,2400,2.8,0.0628,Standby
MCH0199,LIN008,FAC003,Injection Molding,Husky,HUS-410,2017-08-18,8.9,Medium,355,55,75,1200,1900,3.0,0.0395,Standby
MCH0200,LIN004,FAC002,CNC Lathe,DMG Mori,DMG-456,2015-01-19,11.4,Medium,482,68,80,1600,2200,2.7,0.0464,Active
MCH0201,LIN006,FAC002,Hydraulic Press,Schuler,SCH-799,2014-05-10,12.1,High,141,60,78,800,1400,3.2,0.0733,Under Maintenance
MCH0202,LIN009,FAC003,Packaging Line,Krones,KRO-878,2018-02-22,8.4,Medium,171,40,65,700,1300,2.0,0.0381,Active
MCH0203,LIN016,FAC006,CNC Lathe,DMG Mori,DMG-738,2024-05-07,2.1,High,226,68,80,1600,2200,2.7,0.0458,Standby
MCH0204,LIN002,FAC001,Industrial Furnace,Thermax,THE-585,2015-01-29,11.4,High,405,350,520,0,0,1.5,0.0713,Active
MCH0205,LIN030,FAC010,Assembly Robot,ABB,ABB-502,2013-05-28,13.1,Medium,484,45,70,1400,2100,2.2,0.051,Active
MCH0206,LIN007,FAC003,Assembly Robot,ABB,ABB-794,2012-10-09,13.7,Medium,500,45,70,1400,2100,2.2,0.0527,Under Maintenance
MCH0207,LIN003,FAC001,Packaging Line,Krones,KRO-234,2017-02-03,9.4,Medium,439,40,65,700,1300,2.0,0.0408,Active
MCH0208,LIN030,FAC010,CNC Lathe,DMG Mori,DMG-192,2016-07-12,10.0,High,183,68,80,1600,2200,2.7,0.0675,Active
MCH0209,LIN030,FAC010,CNC Milling,Makino,MAK-306,2010-09-04,15.8,Critical,94,72,85,1800,2400,2.8,0.0834,Active
MCH0210,LIN004,FAC002,Assembly Robot,ABB,ABB-958,2021-03-11,5.3,Critical,290,45,70,1400,2100,2.2,0.0546,Active
MCH0211,LIN018,FAC006,Injection Molding,Husky,HUS-792,2010-12-17,15.5,Medium,374,55,75,1200,1900,3.0,0.0576,Under Maintenance
MCH0212,LIN030,FAC010,Packaging Line,Krones,KRO-766,2019-08-15,6.9,Low,255,40,65,700,1300,2.0,0.034,Active
MCH0213,LIN007,FAC003,Assembly Robot,ABB,ABB-452,2022-06-12,4.0,High,488,45,70,1400,2100,2.2,0.051,Under Maintenance
MCH0214,LIN018,FAC006,CNC Lathe,DMG Mori,DMG-876,2024-04-10,2.2,High,483,68,80,1600,2200,2.7,0.0461,Active
MCH0215,LIN014,FAC005,Packaging Line,Krones,KRO-140,2011-03-05,15.3,High,321,40,65,700,1300,2.0,0.0821,Active
MCH0216,LIN028,FAC010,Packaging Line,Krones,KRO-760,2019-01-18,7.4,Medium,262,40,65,700,1300,2.0,0.0353,Active
MCH0217,LIN009,FAC003,CNC Lathe,DMG Mori,DMG-760,2015-06-14,11.0,Medium,186,68,80,1600,2200,2.7,0.0452,Active
MCH0218,LIN007,FAC003,Packaging Line,Krones,KRO-857,2010-03-15,16.3,Medium,350,40,65,700,1300,2.0,0.0598,Under Maintenance
MCH0219,LIN012,FAC004,Hydraulic Press,Schuler,SCH-758,2018-10-31,7.7,Critical,147,60,78,800,1400,3.2,0.0612,Active
MCH0220,LIN023,FAC008,Assembly Robot,ABB,ABB-541,2014-01-09,12.5,Medium,226,45,70,1400,2100,2.2,0.0494,Under Maintenance
MCH0221,LIN027,FAC009,Grinding Machine,Bosch Rexroth,BOS-191,2022-06-23,4.0,Medium,283,65,82,1500,2300,3.4,0.026,Under Maintenance
MCH0222,LIN028,FAC010,Industrial Furnace,Thermax,THE-856,2014-10-29,11.7,High,385,350,520,0,0,1.5,0.0722,Standby
MCH0223,LIN025,FAC009,Packaging Line,Krones,KRO-831,2015-11-15,10.6,High,202,40,65,700,1300,2.0,0.0692,Active
MCH0224,LIN018,FAC006,CNC Lathe,DMG Mori,DMG-291,2014-05-13,12.1,High,120,68,80,1600,2200,2.7,0.0733,Under Maintenance
MCH0225,LIN006,FAC002,Injection Molding,Husky,HUS-737,2015-01-22,11.4,Critical,288,55,75,1200,1900,3.0,0.0713,Under Maintenance
MCH0226,LIN027,FAC009,Packaging Line,Krones,KRO-974,2010-12-18,15.5,Critical,448,40,65,700,1300,2.0,0.0826,Active
MCH0227,LIN023,FAC008,CNC Lathe,DMG Mori,DMG-953,2024-02-24,2.3,Low,478,68,80,1600,2200,2.7,0.0213,Under Maintenance
MCH0228,LIN011,FAC004,CNC Lathe,DMG Mori,DMG-623,2018-09-11,7.8,Critical,300,68,80,1600,2200,2.7,0.0614,Active
MCH0229,LIN014,FAC005,CNC Lathe,DMG Mori,DMG-386,2012-09-07,13.8,High,141,68,80,1600,2200,2.7,0.078,Active
MCH0230,LIN017,FAC006,Hydraulic Press,Schuler,SCH-929,2015-07-18,11.0,Critical,375,60,78,800,1400,3.2,0.0703,Active
MCH0231,LIN008,FAC003,Assembly Robot,ABB,ABB-113,2023-10-11,2.7,High,427,45,70,1400,2100,2.2,0.0474,Active
MCH0232,LIN030,FAC010,Hydraulic Press,Schuler,SCH-894,2022-09-09,3.8,Critical,326,60,78,800,1400,3.2,0.0505,Active
MCH0233,LIN015,FAC005,CNC Lathe,DMG Mori,DMG-923,2022-04-29,4.2,Medium,216,68,80,1600,2200,2.7,0.0266,Under Maintenance
MCH0234,LIN001,FAC001,Hydraulic Press,Schuler,SCH-732,2018-10-07,7.7,Critical,269,60,78,800,1400,3.2,0.0612,Under Maintenance
MCH0235,LIN025,FAC009,CNC Milling,Makino,MAK-156,2022-07-17,4.0,Low,88,72,85,1800,2400,2.8,0.026,Active
MCH0236,LIN021,FAC007,Industrial Furnace,Thermax,THE-121,2024-03-27,2.3,Medium,330,350,520,0,0,1.5,0.0213,Active
MCH0237,LIN025,FAC009,CNC Milling,Makino,MAK-554,2023-04-23,3.2,Critical,473,72,85,1800,2400,2.8,0.0488,Active
MCH0238,LIN007,FAC003,Hydraulic Press,Schuler,SCH-324,2021-01-19,5.4,Medium,99,60,78,800,1400,3.2,0.0299,Active
MCH0239,LIN015,FAC005,CNC Milling,Makino,MAK-637,2014-06-22,12.0,Low,337,72,85,1800,2400,2.8,0.048,Under Maintenance
MCH0240,LIN015,FAC005,CNC Lathe,DMG Mori,DMG-509,2019-06-07,7.1,Critical,119,68,80,1600,2200,2.7,0.0595,Active
MCH0241,LIN010,FAC004,Grinding Machine,Bosch Rexroth,BOS-182,2015-05-07,11.1,Medium,82,65,82,1500,2300,3.4,0.0455,Active
MCH0242,LIN001,FAC001,Injection Molding,Husky,HUS-139,2021-06-23,5.0,Medium,105,55,75,1200,1900,3.0,0.0287,Active
MCH0243,LIN001,FAC001,Injection Molding,Husky,HUS-416,2010-01-29,16.4,Critical,165,55,75,1200,1900,3.0,0.0851,Under Maintenance
MCH0244,LIN007,FAC003,Packaging Line,Krones,KRO-604,2011-12-10,14.6,Critical,130,40,65,700,1300,2.0,0.0801,Active
MCH0245,LIN030,FAC010,Industrial Furnace,Thermax,THE-350,2013-12-31,12.5,High,102,350,520,0,0,1.5,0.0744,Active
MCH0246,LIN029,FAC010,Hydraulic Press,Schuler,SCH-623,2019-05-23,7.1,Medium,440,60,78,800,1400,3.2,0.0345,Active
MCH0247,LIN026,FAC009,Hydraulic Press,Schuler,SCH-560,2023-07-05,3.0,High,322,60,78,800,1400,3.2,0.0483,Active
MCH0248,LIN028,FAC010,Industrial Furnace,Thermax,THE-277,2021-03-10,5.3,High,379,350,520,0,0,1.5,0.0546,Standby
MCH0249,LIN006,FAC002,Injection Molding,Husky,HUS-169,2023-05-04,3.2,High,456,55,75,1200,1900,3.0,0.0488,Active
MCH0250,LIN007,FAC003,Packaging Line,Krones,KRO-598,2011-05-19,15.1,High,430,40,65,700,1300,2.0,0.0815,Active
MCH0251,LIN017,FAC006,Grinding Machine,Bosch Rexroth,BOS-995,2012-10-04,13.7,Medium,141,65,82,1500,2300,3.4,0.0527,Active
MCH0252,LIN027,FAC009,CNC Lathe,DMG Mori,DMG-123,2016-07-20,9.9,Critical,420,68,80,1600,2200,2.7,0.0672,Under Maintenance
MCH0253,LIN016,FAC006,Industrial Furnace,Thermax,THE-421,2017-01-16,9.5,Medium,108,350,520,0,0,1.5,0.0411,Under Maintenance
MCH0254,LIN013,FAC005,Injection Molding,Husky,HUS-610,2017-05-25,9.1,Low,292,55,75,1200,1900,3.0,0.04,Standby
MCH0255,LIN005,FAC002,Industrial Furnace,Thermax,THE-360,2023-01-18,3.4,Medium,360,350,520,0,0,1.5,0.0243,Active
MCH0256,LIN005,FAC002,Assembly Robot,ABB,ABB-800,2012-08-30,13.8,Medium,428,45,70,1400,2100,2.2,0.053,Active
MCH0257,LIN013,FAC005,Assembly Robot,ABB,ABB-867,2015-01-11,11.5,High,288,45,70,1400,2100,2.2,0.0716,Under Maintenance
MCH0258,LIN026,FAC009,Hydraulic Press,Schuler,SCH-686,2021-08-05,4.9,High,92,60,78,800,1400,3.2,0.0535,Standby
MCH0259,LIN026,FAC009,Hydraulic Press,Schuler,SCH-832,2010-05-02,16.2,High,148,60,78,800,1400,3.2,0.0846,Active
MCH0260,LIN005,FAC002,Hydraulic Press,Schuler,SCH-239,2010-08-10,15.9,High,286,60,78,800,1400,3.2,0.0837,Active
MCH0261,LIN017,FAC006,Injection Molding,Husky,HUS-125,2020-06-23,6.0,High,481,55,75,1200,1900,3.0,0.0565,Standby
MCH0262,LIN021,FAC007,Industrial Furnace,Thermax,THE-998,2010-12-28,15.5,Medium,411,350,520,0,0,1.5,0.0576,Active
MCH0263,LIN018,FAC006,Packaging Line,Krones,KRO-420,2010-03-31,16.2,Medium,141,40,65,700,1300,2.0,0.0595,Under Maintenance
MCH0264,LIN030,FAC010,CNC Milling,Makino,MAK-867,2012-05-12,14.1,Medium,400,72,85,1800,2400,2.8,0.0538,Active
MCH0265,LIN011,FAC004,Hydraulic Press,Schuler,SCH-862,2018-08-13,7.9,High,303,60,78,800,1400,3.2,0.0617,Active
MCH0266,LIN021,FAC007,Packaging Line,Krones,KRO-923,2021-10-18,4.7,Critical,151,40,65,700,1300,2.0,0.0529,Under Maintenance
MCH0267,LIN013,FAC005,CNC Milling,Makino,MAK-197,2024-06-03,2.1,Medium,432,72,85,1800,2400,2.8,0.0208,Standby
MCH0268,LIN013,FAC005,CNC Lathe,DMG Mori,DMG-641,2013-12-03,12.6,Low,256,68,80,1600,2200,2.7,0.0496,Under Maintenance
MCH0269,LIN002,FAC001,Packaging Line,Krones,KRO-231,2010-12-09,15.6,Low,189,40,65,700,1300,2.0,0.0579,Standby
MCH0270,LIN013,FAC005,Grinding Machine,Bosch Rexroth,BOS-309,2023-06-28,3.0,Critical,213,65,82,1500,2300,3.4,0.0483,Active
MCH0271,LIN005,FAC002,Packaging Line,Krones,KRO-991,2016-08-18,9.9,High,243,40,65,700,1300,2.0,0.0672,Active
MCH0272,LIN002,FAC001,CNC Lathe,DMG Mori,DMG-864,2014-07-08,12.0,High,265,68,80,1600,2200,2.7,0.073,Active
MCH0273,LIN002,FAC001,CNC Milling,Makino,MAK-836,2019-10-11,6.7,Medium,328,72,85,1800,2400,2.8,0.0334,Active
MCH0274,LIN024,FAC008,Packaging Line,Krones,KRO-226,2011-08-18,14.9,Critical,166,40,65,700,1300,2.0,0.081,Active
MCH0275,LIN008,FAC003,Injection Molding,Husky,HUS-527,2024-02-17,2.4,Medium,253,55,75,1200,1900,3.0,0.0216,Standby
MCH0276,LIN012,FAC004,CNC Milling,Makino,MAK-771,2023-05-03,3.2,High,288,72,85,1800,2400,2.8,0.0488,Standby
MCH0277,LIN001,FAC001,CNC Lathe,DMG Mori,DMG-210,2017-04-14,9.2,Medium,278,68,80,1600,2200,2.7,0.0403,Active
MCH0278,LIN002,FAC001,Injection Molding,Husky,HUS-248,2024-01-28,2.4,Critical,170,55,75,1200,1900,3.0,0.0466,Active
MCH0279,LIN001,FAC001,Hydraulic Press,Schuler,SCH-262,2012-06-09,14.1,Medium,80,60,78,800,1400,3.2,0.0538,Active
MCH0280,LIN023,FAC008,CNC Lathe,DMG Mori,DMG-240,2011-11-21,14.6,Medium,387,68,80,1600,2200,2.7,0.0551,Active
MCH0281,LIN027,FAC009,CNC Lathe,DMG Mori,DMG-395,2021-06-11,5.1,Critical,139,68,80,1600,2200,2.7,0.054,Standby
MCH0282,LIN001,FAC001,Hydraulic Press,Schuler,SCH-512,2014-10-21,11.7,Critical,457,60,78,800,1400,3.2,0.0722,Active
MCH0283,LIN027,FAC009,Injection Molding,Husky,HUS-849,2018-05-30,8.1,High,138,55,75,1200,1900,3.0,0.0623,Active
MCH0284,LIN006,FAC002,Hydraulic Press,Schuler,SCH-921,2014-11-06,11.6,High,347,60,78,800,1400,3.2,0.0719,Under Maintenance
MCH0285,LIN007,FAC003,Packaging Line,Krones,KRO-505,2021-12-09,4.6,Medium,103,40,65,700,1300,2.0,0.0277,Active
MCH0286,LIN023,FAC008,CNC Milling,Makino,MAK-275,2018-01-24,8.4,Medium,226,72,85,1800,2400,2.8,0.0381,Under Maintenance
MCH0287,LIN017,FAC006,Industrial Furnace,Thermax,THE-362,2016-06-08,10.1,High,151,350,520,0,0,1.5,0.0678,Under Maintenance
MCH0288,LIN014,FAC005,Assembly Robot,ABB,ABB-260,2011-08-01,14.9,High,394,45,70,1400,2100,2.2,0.081,Under Maintenance
MCH0289,LIN010,FAC004,Assembly Robot,ABB,ABB-510,2024-03-10,2.3,Medium,100,45,70,1400,2100,2.2,0.0213,Active
MCH0290,LIN027,FAC009,Packaging Line,Krones,KRO-333,2011-12-24,14.5,Medium,280,40,65,700,1300,2.0,0.0549,Active
MCH0291,LIN022,FAC008,Industrial Furnace,Thermax,THE-688,2017-08-21,8.9,Low,281,350,520,0,0,1.5,0.0395,Active
MCH0292,LIN015,FAC005,CNC Milling,Makino,MAK-445,2022-10-21,3.7,Medium,298,72,85,1800,2400,2.8,0.0252,Active
MCH0293,LIN023,FAC008,Injection Molding,Husky,HUS-576,2015-02-14,11.4,Medium,483,55,75,1200,1900,3.0,0.0464,Standby
MCH0294,LIN006,FAC002,Grinding Machine,Bosch Rexroth,BOS-575,2022-03-13,4.3,High,135,65,82,1500,2300,3.4,0.0518,Active
MCH0295,LIN020,FAC007,Grinding Machine,Bosch Rexroth,BOS-509,2016-04-23,10.2,Medium,386,65,82,1500,2300,3.4,0.0431,Active
MCH0296,LIN026,FAC009,CNC Milling,Makino,MAK-127,2015-06-23,11.0,Medium,240,72,85,1800,2400,2.8,0.0452,Under Maintenance
MCH0297,LIN018,FAC006,Injection Molding,Husky,HUS-498,2012-11-10,13.6,High,427,55,75,1200,1900,3.0,0.0774,Active
MCH0298,LIN016,FAC006,Industrial Furnace,Thermax,THE-490,2018-09-20,7.8,Medium,261,350,520,0,0,1.5,0.0364,Active
MCH0299,LIN014,FAC005,Assembly Robot,ABB,ABB-675,2022-04-02,4.2,Low,348,45,70,1400,2100,2.2,0.0266,Active
MCH0300,LIN002,FAC001,Injection Molding,Husky,HUS-925,2022-11-05,3.6,Medium,172,55,75,1200,1900,3.0,0.0249,Active
MCH0301,LIN019,FAC007,Packaging Line,Krones,KRO-354,2019-03-12,7.3,High,451,40,65,700,1300,2.0,0.0601,Standby
MCH0302,LIN016,FAC006,CNC Lathe,DMG Mori,DMG-897,2012-07-09,14.0,Low,371,68,80,1600,2200,2.7,0.0535,Standby
MCH0303,LIN020,FAC007,Packaging Line,Krones,KRO-130,2019-02-22,7.4,High,170,40,65,700,1300,2.0,0.0604,Standby
MCH0304,LIN026,FAC009,Hydraulic Press,Schuler,SCH-973,2013-10-01,12.7,High,332,60,78,800,1400,3.2,0.0749,Active
MCH0305,LIN003,FAC001,Grinding Machine,Bosch Rexroth,BOS-732,2023-10-31,2.7,Medium,346,65,82,1500,2300,3.4,0.0224,Active
MCH0306,LIN010,FAC004,Hydraulic Press,Schuler,SCH-152,2021-03-05,5.3,Medium,439,60,78,800,1400,3.2,0.0296,Under Maintenance
MCH0307,LIN024,FAC008,Hydraulic Press,Schuler,SCH-322,2016-03-15,10.3,High,112,60,78,800,1400,3.2,0.0683,Under Maintenance
MCH0308,LIN025,FAC009,Packaging Line,Krones,KRO-922,2016-02-16,10.4,Medium,277,40,65,700,1300,2.0,0.0436,Active
MCH0309,LIN007,FAC003,Hydraulic Press,Schuler,SCH-542,2024-02-01,2.4,Medium,437,60,78,800,1400,3.2,0.0216,Under Maintenance
MCH0310,LIN029,FAC010,Packaging Line,Krones,KRO-186,2020-01-16,6.5,High,226,40,65,700,1300,2.0,0.0579,Active
MCH0311,LIN023,FAC008,Industrial Furnace,Thermax,THE-877,2014-11-04,11.7,High,228,350,520,0,0,1.5,0.0722,Active
MCH0312,LIN015,FAC005,Grinding Machine,Bosch Rexroth,BOS-459,2019-11-08,6.6,Medium,168,65,82,1500,2300,3.4,0.0331,Active
MCH0313,LIN018,FAC006,CNC Milling,Makino,MAK-174,2014-09-17,11.8,Medium,145,72,85,1800,2400,2.8,0.0475,Under Maintenance
MCH0314,LIN023,FAC008,Grinding Machine,Bosch Rexroth,BOS-704,2021-06-10,5.1,Medium,160,65,82,1500,2300,3.4,0.029,Active
MCH0315,LIN015,FAC005,CNC Lathe,DMG Mori,DMG-888,2014-12-08,11.6,High,140,68,80,1600,2200,2.7,0.0719,Active
MCH0316,LIN029,FAC010,Assembly Robot,ABB,ABB-780,2020-12-18,5.5,Low,94,45,70,1400,2100,2.2,0.0301,Active
MCH0317,LIN021,FAC007,Industrial Furnace,Thermax,THE-157,2013-05-09,13.1,High,331,350,520,0,0,1.5,0.076,Active
MCH0318,LIN006,FAC002,Industrial Furnace,Thermax,THE-607,2018-08-23,7.9,Critical,371,350,520,0,0,1.5,0.0617,Standby
MCH0319,LIN007,FAC003,Packaging Line,Krones,KRO-513,2012-03-09,14.3,Medium,191,40,65,700,1300,2.0,0.0543,Active
MCH0320,LIN011,FAC004,Hydraulic Press,Schuler,SCH-135,2019-08-23,6.9,High,442,60,78,800,1400,3.2,0.059,Under Maintenance
MCH0321,LIN029,FAC010,Assembly Robot,ABB,ABB-978,2017-01-20,9.4,Low,116,45,70,1400,2100,2.2,0.0408,Active
MCH0322,LIN010,FAC004,Industrial Furnace,Thermax,THE-393,2023-09-22,2.8,Critical,290,350,520,0,0,1.5,0.0477,Active
MCH0323,LIN027,FAC009,Grinding Machine,Bosch Rexroth,BOS-645,2018-02-03,8.4,High,225,65,82,1500,2300,3.4,0.0631,Active
MCH0324,LIN024,FAC008,CNC Milling,Makino,MAK-374,2010-08-18,15.9,Medium,444,72,85,1800,2400,2.8,0.0587,Standby
MCH0325,LIN011,FAC004,CNC Lathe,DMG Mori,DMG-100,2016-05-17,10.1,High,137,68,80,1600,2200,2.7,0.0678,Active
MCH0326,LIN026,FAC009,Injection Molding,Husky,HUS-481,2011-06-09,15.1,High,299,55,75,1200,1900,3.0,0.0815,Active
MCH0327,LIN009,FAC003,CNC Milling,Makino,MAK-302,2022-06-07,4.1,High,317,72,85,1800,2400,2.8,0.0513,Standby
MCH0328,LIN024,FAC008,CNC Lathe,DMG Mori,DMG-758,2023-08-30,2.8,Medium,478,68,80,1600,2200,2.7,0.0227,Standby
MCH0329,LIN014,FAC005,CNC Lathe,DMG Mori,DMG-217,2010-05-07,16.1,Low,374,68,80,1600,2200,2.7,0.0593,Active
MCH0330,LIN023,FAC008,Assembly Robot,ABB,ABB-166,2015-11-25,10.6,Medium,267,45,70,1400,2100,2.2,0.0442,Active
MCH0331,LIN012,FAC004,Packaging Line,Krones,KRO-353,2017-10-26,8.7,High,396,40,65,700,1300,2.0,0.0639,Active
MCH0332,LIN025,FAC009,CNC Lathe,DMG Mori,DMG-459,2011-02-11,15.4,High,228,68,80,1600,2200,2.7,0.0824,Standby
MCH0333,LIN028,FAC010,CNC Milling,Makino,MAK-956,2024-01-29,2.4,High,164,72,85,1800,2400,2.8,0.0466,Active
MCH0334,LIN018,FAC006,CNC Milling,Makino,MAK-439,2016-05-10,10.1,High,207,72,85,1800,2400,2.8,0.0678,Active
MCH0335,LIN026,FAC009,Assembly Robot,ABB,ABB-741,2014-01-05,12.5,Medium,197,45,70,1400,2100,2.2,0.0494,Active
MCH0336,LIN021,FAC007,Grinding Machine,Bosch Rexroth,BOS-555,2024-06-26,2.0,High,369,65,82,1500,2300,3.4,0.0455,Active
MCH0337,LIN028,FAC010,CNC Lathe,DMG Mori,DMG-395,2019-05-14,7.1,High,152,68,80,1600,2200,2.7,0.0595,Active
MCH0338,LIN015,FAC005,Assembly Robot,ABB,ABB-620,2015-12-16,10.5,Critical,85,45,70,1400,2100,2.2,0.0689,Active
MCH0339,LIN019,FAC007,Assembly Robot,ABB,ABB-850,2023-08-08,2.9,Medium,273,45,70,1400,2100,2.2,0.023,Active
MCH0340,LIN012,FAC004,Industrial Furnace,Thermax,THE-892,2019-10-23,6.7,High,150,350,520,0,0,1.5,0.0584,Active
MCH0341,LIN006,FAC002,Assembly Robot,ABB,ABB-545,2017-04-01,9.2,Critical,118,45,70,1400,2100,2.2,0.0653,Standby
MCH0342,LIN026,FAC009,Grinding Machine,Bosch Rexroth,BOS-760,2014-10-23,11.7,Medium,256,65,82,1500,2300,3.4,0.0472,Under Maintenance
MCH0343,LIN003,FAC001,Injection Molding,Husky,HUS-470,2018-04-30,8.2,Medium,91,55,75,1200,1900,3.0,0.0376,Under Maintenance
MCH0344,LIN019,FAC007,Assembly Robot,ABB,ABB-495,2013-07-15,13.0,Medium,410,45,70,1400,2100,2.2,0.0508,Standby
MCH0345,LIN018,FAC006,CNC Lathe,DMG Mori,DMG-314,2024-07-02,2.0,Medium,206,68,80,1600,2200,2.7,0.0205,Active
MCH0346,LIN015,FAC005,CNC Lathe,DMG Mori,DMG-128,2016-02-18,10.4,Medium,331,68,80,1600,2200,2.7,0.0436,Active
MCH0347,LIN015,FAC005,Packaging Line,Krones,KRO-789,2019-12-13,6.5,Medium,480,40,65,700,1300,2.0,0.0329,Standby
MCH0348,LIN017,FAC006,Grinding Machine,Bosch Rexroth,BOS-650,2024-08-24,1.8,High,85,65,82,1500,2300,3.4,0.045,Active
MCH0349,LIN024,FAC008,Assembly Robot,ABB,ABB-946,2011-09-07,14.8,Medium,114,45,70,1400,2100,2.2,0.0557,Active
MCH0350,LIN021,FAC007,Assembly Robot,ABB,ABB-952,2011-01-11,15.5,Critical,298,45,70,1400,2100,2.2,0.0826,Standby
MCH0351,LIN021,FAC007,Industrial Furnace,Thermax,THE-207,2019-06-30,7.0,Critical,218,350,520,0,0,1.5,0.0593,Active
MCH0352,LIN027,FAC009,Industrial Furnace,Thermax,THE-877,2016-03-09,10.3,High,136,350,520,0,0,1.5,0.0683,Standby
MCH0353,LIN002,FAC001,Packaging Line,Krones,KRO-644,2017-11-06,8.6,Medium,137,40,65,700,1300,2.0,0.0387,Under Maintenance
MCH0354,LIN005,FAC002,Assembly Robot,ABB,ABB-179,2018-09-13,7.8,Medium,167,45,70,1400,2100,2.2,0.0364,Active
MCH0355,LIN029,FAC010,CNC Milling,Makino,MAK-374,2014-02-28,12.3,Medium,360,72,85,1800,2400,2.8,0.0488,Active
MCH0356,LIN005,FAC002,Industrial Furnace,Thermax,THE-260,2022-05-28,4.1,Low,425,350,520,0,0,1.5,0.0263,Active
MCH0357,LIN029,FAC010,Packaging Line,Krones,KRO-554,2023-10-18,2.7,High,353,40,65,700,1300,2.0,0.0474,Active
MCH0358,LIN027,FAC009,Packaging Line,Krones,KRO-605,2018-07-01,8.0,Medium,341,40,65,700,1300,2.0,0.037,Active
MCH0359,LIN019,FAC007,Grinding Machine,Bosch Rexroth,BOS-708,2024-12-14,1.5,Medium,314,65,82,1500,2300,3.4,0.0191,Standby
MCH0360,LIN028,FAC010,Industrial Furnace,Thermax,THE-521,2017-02-05,9.4,Medium,299,350,520,0,0,1.5,0.0408,Active
MCH0361,LIN024,FAC008,Industrial Furnace,Thermax,THE-398,2018-01-23,8.4,Critical,408,350,520,0,0,1.5,0.0631,Standby
MCH0362,LIN007,FAC003,Grinding Machine,Bosch Rexroth,BOS-659,2020-12-14,5.5,Low,450,65,82,1500,2300,3.4,0.0301,Under Maintenance
MCH0363,LIN017,FAC006,Industrial Furnace,Thermax,THE-291,2014-03-20,12.3,Low,213,350,520,0,0,1.5,0.0488,Active
MCH0364,LIN029,FAC010,Packaging Line,Krones,KRO-366,2011-07-08,15.0,Medium,346,40,65,700,1300,2.0,0.0563,Active
MCH0365,LIN014,FAC005,Assembly Robot,ABB,ABB-242,2010-12-11,15.6,High,86,45,70,1400,2100,2.2,0.0829,Active
MCH0366,LIN019,FAC007,CNC Lathe,DMG Mori,DMG-241,2019-12-08,6.6,Medium,395,68,80,1600,2200,2.7,0.0331,Active
MCH0367,LIN007,FAC003,Industrial Furnace,Thermax,THE-420,2020-03-27,6.3,Medium,351,350,520,0,0,1.5,0.0323,Active
MCH0368,LIN016,FAC006,Packaging Line,Krones,KRO-917,2020-06-22,6.0,Medium,252,40,65,700,1300,2.0,0.0315,Active
MCH0369,LIN012,FAC004,Packaging Line,Krones,KRO-213,2023-03-01,3.3,Low,277,40,65,700,1300,2.0,0.0241,Standby
MCH0370,LIN029,FAC010,Hydraulic Press,Schuler,SCH-853,2023-09-17,2.8,Medium,351,60,78,800,1400,3.2,0.0227,Active
MCH0371,LIN005,FAC002,Packaging Line,Krones,KRO-993,2011-12-30,14.5,Critical,223,40,65,700,1300,2.0,0.0799,Active
MCH0372,LIN025,FAC009,CNC Lathe,DMG Mori,DMG-980,2016-03-02,10.3,Medium,141,68,80,1600,2200,2.7,0.0433,Active
MCH0373,LIN011,FAC004,Injection Molding,Husky,HUS-563,2021-03-11,5.3,High,176,55,75,1200,1900,3.0,0.0546,Under Maintenance
MCH0374,LIN013,FAC005,Packaging Line,Krones,KRO-414,2016-11-12,9.6,Medium,319,40,65,700,1300,2.0,0.0414,Active
MCH0375,LIN005,FAC002,Injection Molding,Husky,HUS-874,2012-01-17,14.5,Medium,218,55,75,1200,1900,3.0,0.0549,Active
